security,symbol,market_cap,current_price,previous_price,day_low,day_high,year_week_low,year_week_high,sector,move,category
Jacobs Solutions,J,14.607,119.2,118.39,118.62,122.48,106.23,150.54,Industrials,0.68,up
Equity Residential,EQR,27.923,69.38,68.93,68.88,70.6,59.41,78.83,Real Estate,0.65,up
"UDR, Inc.",UDR,15.754,41.8,41.54,41.6,42.45,36.61,47.55,Real Estate,0.63,up
Zoetis,ZTS,67.315,150.91,149.99,150.61,153.77,139.7,200.33,Health Care,0.61,up
BlackRock,BLK,138.363,892.54,887.22,888.76,929.0,748.02,1084.22,Financials,0.6,up
Adobe Inc.,ADBE,150.005,351.96,349.91,349.8,362.94,332.01,587.75,Information Technology,0.59,up
Edison International,EIX,22.393,58.16,57.82,57.54,58.78,49.06,88.77,Utilities,0.59,up
Paccar,PCAR,46.761,89.08,88.56,88.61,91.64,85.05,118.81,Industrials,0.59,up
International Paper,IP,24.678,46.75,46.48,46.39,48.33,33.16,60.36,Materials,0.58,up
"Nike, Inc.",NKE,84.707,57.39,57.06,56.7,59.19,52.28,98.04,Consumer Discretionary,0.58,up
L3Harris,LHX,40.605,216.31,215.08,214.64,218.8,193.09,265.74,Industrials,0.57,up
PG&E Corporation,PCG,38.547,17.54,17.44,17.3,17.62,14.99,21.72,Utilities,0.57,up
Home Depot (The),HD,354.256,356.42,354.43,354.93,364.8,323.77,439.37,Consumer Discretionary,0.56,up
T. Rowe Price,TROW,19.259,86.66,86.18,86.22,90.58,77.85,125.81,Financials,0.56,up
Cardinal Health,CAH,32.474,134.43,133.69,133.45,136.23,93.17,139.5,Health Care,0.55,up
W. R. Berkley Corporation,WRB,27.022,71.24,70.85,69.63,71.33,50.73,76.38,Financials,0.55,up
Broadridge Financial Solutions,BR,27.647,236.26,235.0,235.55,240.95,188.3,247.01,Industrials,0.54,up
Brown & Brown,BRO,33.879,118.2,117.56,117.19,119.06,80.87,125.68,Financials,0.54,up
Global Payments,GPN,17.644,71.76,71.39,71.48,74.55,65.93,127.66,Financials,0.52,up
Leidos,LDOS,18.206,142.0,141.26,141.72,145.0,123.62,202.9,Industrials,0.52,up
Mastercard,MA,483.214,530.01,527.33,527.92,543.82,428.86,582.23,Financials,0.51,up
Ventas,VTR,30.044,68.64,68.29,67.94,69.0,42.88,71.36,Real Estate,0.51,up
Loews Corporation,L,18.119,86.14,85.71,85.54,86.79,73.15,92.42,Financials,0.5,up
Steris,STE,21.995,223.87,222.77,223.33,229.01,200.41,248.24,Health Care,0.49,up
Ecolab,ECL,67.49,237.95,236.81,236.0,241.51,218.19,273.69,Materials,0.48,up
Williams Companies,WMB,71.386,58.48,58.2,57.94,59.65,37.69,61.67,Energy,0.48,up
CF Industries,CF,12.633,75.89,75.54,74.79,77.01,67.34,98.25,Materials,0.46,up
Medtronic,MDT,107.413,83.75,83.37,83.36,85.35,75.96,96.25,Health Care,0.46,up
IDEX Corporation,IEX,12.627,167.15,166.4,166.64,175.09,153.36,238.22,Industrials,0.45,up
Allstate,ALL,51.631,194.73,193.9,193.0,196.41,156.66,212.91,Financials,0.43,up
Quest Diagnostics,DGX,19.436,173.57,172.84,169.25,175.35,134.05,178.87,Health Care,0.42,up
Raymond James Financial,RJF,27.73,135.33,134.77,134.51,139.65,104.24,174.32,Financials,0.42,up
T-Mobile US,TMUS,294.793,259.35,258.3,252.67,262.61,160.62,276.49,Communication Services,0.41,up
Regeneron Pharmaceuticals,REGN,64.267,587.85,585.49,584.45,603.77,525.99,1211.2,Health Care,0.4,up
Vertex Pharmaceuticals,VRTX,126.592,492.42,490.47,484.96,498.41,377.85,519.88,Health Care,0.4,up
Deere & Company,DE,123.884,456.44,454.66,454.43,471.96,340.2,515.05,Industrials,0.39,up
Interpublic Group of Companies (The),IPG,8.94,23.99,23.9,23.89,24.67,22.51,33.05,Communication Services,0.38,up
United Parcel Service,UPS,82.389,97.21,96.84,96.97,99.79,90.55,153.42,Industrials,0.38,up
C.H. Robinson,CHRW,10.713,90.61,90.28,90.07,93.1,69.66,114.82,Industrials,0.37,up
EQT Corporation,EQT,29.125,48.75,48.57,47.15,50.41,30.02,56.66,Energy,0.37,up
FactSet,FDS,16.147,425.52,423.96,424.07,436.73,391.69,499.87,Financials,0.37,up
Fidelity National Information Services,FIS,42.063,79.41,79.12,78.89,81.7,66.51,91.98,Financials,0.37,up
Alliant Energy,LNT,15.728,61.23,61.03,60.32,61.46,49.05,66.54,Utilities,0.33,up
Hormel Foods,HRL,16.943,30.81,30.71,30.36,30.88,27.59,36.86,Consumer Staples,0.33,up
Huntington Ingalls Industries,HII,8.551,217.93,217.22,215.5,221.01,158.88,285.81,Industrials,0.33,up
Lockheed Martin,LMT,108.736,463.55,462.08,457.72,470.85,418.88,618.95,Industrials,0.32,up
Mosaic Company (The),MOS,8.867,27.95,27.86,27.17,28.38,22.36,32.29,Materials,0.32,up
Arthur J. Gallagher & Co.,AJG,84.85,331.79,330.75,329.9,336.69,232.27,350.7,Financials,0.31,up
Jack Henry & Associates,JKHY,12.627,173.21,172.68,172.1,174.86,157.0,196.0,Financials,0.31,up
Willis Towers Watson,WTW,32.366,325.68,324.68,324.69,328.72,245.04,344.14,Financials,0.31,up
Kellanova,K,28.601,82.85,82.6,82.39,82.87,55.96,83.22,Consumer Staples,0.3,up
Kimco Realty,KIM,13.937,20.51,20.45,20.42,20.95,17.93,25.83,Real Estate,0.29,up
Ball Corporation,BALL,13.695,48.5,48.37,48.12,49.69,43.51,71.32,Materials,0.27,up
DTE Energy,DTE,28.256,136.16,135.8,134.04,136.76,108.4,140.39,Utilities,0.27,up
Welltower,WELL,96.199,147.65,147.25,146.35,148.9,91.91,158.55,Real Estate,0.27,up
Essex Property Trust,ESS,19.116,277.09,276.37,274.38,284.6,239.37,317.73,Real Estate,0.26,up
Hartford (The),HIG,33.976,119.05,118.74,118.45,120.14,94.47,125.08,Financials,0.26,up
Ross Stores,ROST,45.451,138.22,137.89,137.71,141.67,122.36,163.6,Consumer Discretionary,0.24,up
Deckers Brands,DECK,16.188,106.66,106.42,106.29,113.0,93.72,223.98,Consumer Discretionary,0.23,up
Lilly (Eli),LLY,744.81,829.42,827.54,819.29,845.74,677.09,972.53,Health Care,0.23,up
Automatic Data Processing,ADP,119.433,293.54,292.89,291.73,297.6,231.27,322.84,Industrials,0.22,up
EOG Resources,EOG,61.536,111.57,111.32,110.03,113.66,102.52,138.18,Energy,0.22,up
Xcel Energy,XEL,41.214,71.55,71.39,70.58,72.1,51.97,73.38,Utilities,0.22,up
CenterPoint Energy,CNP,24.373,37.34,37.26,36.72,37.38,25.41,37.7,Utilities,0.21,up
Moody's Corporation,MCO,77.491,430.77,429.87,429.44,448.99,360.05,531.93,Financials,0.21,up
Weyerhaeuser,WY,18.371,25.31,25.26,25.24,26.2,24.1,34.03,Real Estate,0.2,up
ConocoPhillips,COP,113.687,89.93,89.76,89.08,91.67,79.88,130.77,Energy,0.19,up
Illinois Tool Works,ITW,69.44,236.7,236.25,235.96,244.14,214.66,279.13,Industrials,0.19,up
Intercontinental Exchange,ICE,92.488,160.99,160.68,159.52,163.15,124.34,177.45,Financials,0.19,up
CVS Health,CVS,82.774,65.57,65.45,64.83,66.43,43.56,71.45,Health Care,0.18,up
UnitedHealth Group,UNH,389.539,427.96,427.18,423.75,438.85,417.12,630.73,Health Care,0.18,up
PulteGroup,PHM,20.223,101.06,100.89,100.65,105.62,88.07,149.47,Consumer Discretionary,0.17,up
ResMed,RMD,31.494,214.44,214.08,210.34,221.53,179.0,263.05,Health Care,0.17,up
Constellation Brands,STZ,33.852,187.28,187.0,184.92,189.73,160.46,265.7,Consumer Staples,0.15,up
Invesco,IVZ,6.047,13.51,13.49,13.43,14.33,11.6,19.55,Financials,0.15,up
Best Buy,BBY,13.416,63.47,63.38,63.35,68.3,54.99,103.71,Consumer Discretionary,0.14,up
Lennar,LEN,28.194,107.57,107.42,107.5,111.6,98.42,187.61,Consumer Discretionary,0.14,up
Walmart,WMT,761.28,94.96,94.85,94.17,96.59,58.58,105.3,Consumer Staples,0.12,up
Aflac,AFL,59.183,108.43,108.31,107.86,110.3,80.59,115.5,Financials,0.11,up
