security,symbol,market_cap,current_price,previous_price,day_low,day_high,year_week_low,year_week_high,sector,move,category
General Mills,GIS,31.367,57.28,58.06,56.76,57.85,55.15,75.9,Consumer Staples,-1.34,down
Kroger,KR,47.584,72.0,72.98,70.92,72.36,49.04,73.63,Consumer Staples,-1.34,down
American Water Works,AWK,28.7,147.17,149.26,144.58,147.75,118.15,155.5,Utilities,-1.4,down
Dollar General,DG,20.99,95.43,96.79,93.69,96.71,66.43,147.87,Consumer Staples,-1.41,down
Linde plc,LIN,211.964,448.21,454.61,445.5,457.81,408.65,487.49,Materials,-1.41,down
Abbott Laboratories,ABT,225.184,129.84,131.73,127.14,132.89,99.71,141.23,Health Care,-1.43,down
Carrier Global,CARR,50.63,58.6,59.47,58.57,60.88,54.22,83.32,Industrials,-1.46,down
Electronic Arts,EA,37.459,143.73,145.87,142.9,146.09,115.21,168.5,Communication Services,-1.47,down
Johnson & Johnson,JNJ,374.443,155.38,157.75,154.33,157.1,140.68,169.99,Health Care,-1.5,down
Fastenal,FAST,45.999,80.19,81.44,79.79,82.4,61.36,84.88,Industrials,-1.53,down
CME Group,CME,94.233,261.48,265.56,251.9,262.01,190.7,273.42,Financials,-1.54,down
Church & Dwight,CHD,25.135,102.13,103.85,100.58,103.63,96.35,116.46,Consumer Staples,-1.66,down
Schlumberger,SLB,46.276,34.03,34.61,33.8,35.59,31.11,50.94,Energy,-1.68,down
Colgate-Palmolive,CL,76.153,93.89,95.81,92.71,94.89,85.32,109.3,Consumer Staples,-2.0,down
Crown Castle,CCI,44.536,102.28,104.37,100.66,103.31,84.2,120.92,Real Estate,-2.0,down
Chubb Limited,CB,113.991,284.49,290.42,279.67,289.87,238.85,306.91,Financials,-2.04,down
Target Corporation,TGT,41.981,92.15,94.1,91.7,97.62,87.35,167.4,Consumer Staples,-2.07,down
MarketAxess,MKTX,8.202,217.59,222.41,215.51,220.51,186.84,296.68,Financials,-2.17,down
Newmont,NEM,59.914,53.15,54.54,51.64,53.49,36.86,58.72,Materials,-2.55,down
Bristol Myers Squibb,BMY,98.747,48.53,49.82,47.61,49.33,39.35,63.33,Health Care,-2.59,down
Avery Dennison,AVY,13.444,170.25,174.83,168.93,176.65,157.0,233.48,Materials,-2.62,down
Teledyne Technologies,TDY,21.008,448.52,461.1,438.86,462.78,355.41,522.5,Information Technology,-2.73,down
First Solar,FSLR,14.059,131.1,135.35,129.98,138.11,116.56,306.77,Information Technology,-3.14,down
SBA Communications,SBAC,24.187,223.9,231.42,220.08,230.52,183.64,252.64,Real Estate,-3.25,down
Kimberly-Clark,KMB,44.275,133.4,137.92,131.12,136.57,124.1,150.45,Consumer Staples,-3.28,down
General Dynamics,GD,71.317,265.73,274.8,263.6,272.88,239.2,316.9,Industrials,-3.3,down
Masco,MAS,12.555,59.32,61.43,56.96,65.45,56.96,86.7,Industrials,-3.43,down
American Tower,AMT,99.522,212.6,220.97,209.37,219.74,170.46,243.56,Real Estate,-3.79,down
Baker Hughes,BKR,35.544,35.89,38.36,35.72,38.16,30.93,49.4,Energy,-6.44,down
Otis Worldwide,OTIS,36.517,92.3,98.95,90.57,97.38,89.7,106.83,Industrials,-6.72,down
Lennox International,LII,18.057,508.76,558.93,504.58,542.0,445.63,682.5,Industrials,-8.98,down
Enphase Energy,ENPH,5.913,45.07,53.43,44.89,50.68,44.89,141.63,Information Technology,-15.65,down
